city_code,lat,lon
006490,47.7303574,125.6617719
006500,29.0340526,111.6927445
006510,34.2156961,113.7676736
006520,44.0118313,87.2636464
006530,25.9660393,119.5185643
006540,28.5825621,104.9187489
006550,28.1979483,112.97133
006560,31.6572954,120.7480757
006570,36.8394346,119.4013261
006580,36.1829336,113.0985394
006590,29.4132842,105.6042141
006600,31.6684462,117.6698089
006610,23.260954,116.59406
006620,41.5754767,120.4390738
006630,23.6311971,116.7488939
006640,40.7721353,118.163919
006650,30.6624205,104.0633219
006660,23.463154,116.76804
006670,25.7953089,113.0287294
006680,29.7273129,113.9020959
006690,42.2799929,118.9426131
006700,28.5914382,105.6956747
006710,30.6671088,117.4859885
006720,29.5585712,106.5492822
006730,30.6256088,103.6722448
006750,25.0359599,101.5440836
006760,32.2545901,118.3280486
006770,30.1708675,121.261786
006780,23.5469932,113.5876458
006790,45.5044225,124.2855828
006800,44.179315,86.590973
006810,25.6023916,100.2449114
006820,38.9181714,121.6282945
006830,40.128668,124.3863404
006840,30.8238636,111.7823966
006850,32.5429981,111.5070101
006860,32.0109736,119.6012702
006870,19.5173795,109.5697188
006880,46.5969028,125.1014811
006890,40.6348183,122.5042794
006900,40.0921758,113.2950953
006920,30.0981854,114.9747162
006940,31.216036,107.5027564
006950,44.5350141,125.6954363
006960,34.4551772,113.0444455
006970,41.4244866,123.3335139
006980,32.6880537,112.0818901
006990,28.9334041,117.5893106
007000,31.1244028,104.39013
007010,37.4486676,116.305416
007020,38.5112175,114.9970044
007040,19.0979286,108.6482353
007050,39.8789142,124.1458478
007060,25.290556,118.374167
007070,37.0154851,104.9750296
007080,32.8536216,120.3122464
007100,29.2908082,120.2366509
007110,37.4334738,118.6689349
007120,30.9968918,103.620532
007140,43.3688445,128.2260494
007160,26.265476,107.5181899
007170,29.5103149,103.3324161
007180,22.1887958,112.3090696
007190,30.2974854,109.4746431
007200,30.3648558,114.8611939
007210,21.6177532,108.3453556
007220,36.1841443,116.7653466
007230,39.5661485,118.1021558
007240,28.1636196,115.7661067
007250,40.4500763,124.0637454
007260,29.657507,121.4024733
007270,40.4354018,113.1044713
007280,37.2674518,111.7831355
007290,23.0247687,113.1146335
007300,27.0909995,119.6433621
007310,27.3274216,120.2126329
007320,47.2398155,132.0251042
007350,25.7237321,119.3795377
007360,25.841026,118.882609
007370,41.8692972,123.924157
007380,42.0151733,121.6452868
007390,32.8926763,115.8090001
007400,30.0516179,119.9557066
007430,27.9957951,116.353245
007440,40.3997761,122.3698442
007450,25.8223093,114.959888
007460,28.4440713,115.3551853
007470,39.333333,115.85
007480,38.023402,114.8406273
007490,36.3654065,119.8005385
007500,22.9955074,113.0695854
007510,35.7984314,112.9229854
007520,23.0302295,112.4561939
007530,32.7875425,119.4326277
007540,21.9140106,110.8508956
007560,23.3618738,103.1577391
007580,34.754623,112.9798562
007590,43.5025009,124.8127196
007600,30.4591677,106.6331958
007610,30.9818013,104.2725546
007620,31.6190052,113.8203522
007630,32.4329637,105.8563402
007640,23.1301964,113.2592945
007660,23.115194,109.5960462
007680,30.1931013,105.844567
007690,25.5582,109.121
007700,30.5705251,104.068025
007710,25.7561647,112.72964
007750,45.7656666,126.6160584
007760,40.8518336,122.7433343
007770,24.7885722,102.6062332
007790,44.5730397,129.3804915
007800,47.459421,126.9655598
007810,31.8729183,121.1771295
007820,30.5126121,120.6763394
007830,36.6883484,121.1686893
007840,42.8264052,93.5132835
007850,35.4762519,110.4508029
007860,30.6637405,113.8334652
007870,36.583333,114.483333
007890,33.069049,107.018889
007910,35.7479577,114.2915957
007920,24.4981137,108.6296249
007930,29.9746891,106.272238
007940,31.8228094,117.2218033
007950,47.3355856,130.2836718
007970,38.4425293,116.0901457
007980,35.5957768,110.7057517
008000,37.7364305,115.6677229
008010,26.893867,112.6263806
008020,22.7665858,112.9621553
008060,35.2477266,115.4464761
008070,24.415373,111.5435723
008090,29.8287906,113.4706905
008100,27.2129336,109.8320349
008120,42.9713594,126.7457066
008130,33.5897018,119.0211943
008140,33.9566098,116.7928916
008150,27.554599,109.9641566
008160,32.5866826,117.0130019
008170,30.8995105,113.959962
008180,30.4494243,114.8653378
008190,38.366667,117.333333
008200,30.1343921,118.1612689
008210,30.1566753,114.9356302
008240,30.3843078,106.775599
008250,21.6516763,110.6404799
008280,35.4625141,113.7976228
008290,22.7889017,114.4717876
008300,23.1060862,114.4141105
008310,25.116585,117.54937
008320,40.7515443,120.8404789
008350,36.5719389,111.7309206
008360,30.8942995,120.0851114
008380,46.8087794,130.3734556
008400,27.0427561,114.9034932
008420,29.4755882,119.2749876
008430,32.4286378,119.5574255
008440,29.2872735,106.2547374
008450,22.5766294,113.079047
008460,28.7403476,118.6221665
008470,32.5112693,120.1231831
008480,31.9092756,120.2630426
008490,31.7777135,104.73443
008500,27.0252649,118.3003243
008510,27.3576557,118.109014
008520,30.3915544,104.5532107
008530,43.7213101,127.3420195
008560,35.9574858,120.1892358
008570,36.2640866,120.0284928
008580,35.2075729,113.2533977
008590,30.7474425,120.7510971
008610,33.2619055,115.3540362
008620,37.0310036,111.9154182
008630,23.5430817,116.3497169
008640,43.8417717,126.5605066
008660,30.4431407,112.1978893
008680,35.493783,112.8519862
008710,22.0025515,100.7707274
008720,32.0165721,120.2693683
008730,31.0348589,112.1973384
008740,26.578602,109.691719
